id,country,region,city,language,gender,birth_year,birth_month,last_ia_timestamp,optin_channel
005056BFF94F1EDCB99AED42E2929441,LA,,,E,,,,,
005056BFC8E81EDCBC96F92060A7C2EF,LA,,,,,,,,Y
005056BFF94F1EDCB99AF43C76E1747E,LA,01,,E,,,,,
005056BFF94F1EDCB99AF43ACC1E747E,LA,,,E,,,,,
005056BFF94F1EDCB99AF438E202147E,LA,,,E,,,,,
005056BFF94F1EDCB99AF42824E9F475,LA,,,E,,,,,
005056BFF94F1EDCB99AFB744EECB56F,LA,13,,E,,,,,
005056BFF94F1EDCB99B031FC9923572,LA,13,,E,,,,,
005056BFF94F1EDCBA985272368759C6,LA,,,E,,,,,
005056BFF94F1EDCBA985272362799C6,LA,,,E,,,,,
005056BFF94F1EDCBA98526EA78CD9C6,LA,,,E,,,,,
005056BFF94F1EDCB99B0B385AC4F5FE,LA,,,E,,,,,
005056BFF94F1EDCB99B0B385AC295FE,LA,,,E,,,,,
005056BFF94F1EDCB99B0B34E7BA75F5,LA,,,E,,,,,
005056BFF94F1EDCB99B12328FF6D69A,LA,,,E,,,,,
005056BFF94F1EDCB99B1995E85BB69C,LA,,,E,,,,,
005056BFF94F1EDCB99B1995E84F169C,LA,,,E,,,,,
005056BFF94F1EDCB99B1994478DB69C,LA,,,E,,,,,
005056BFF94F1EDCB99B1992AD46D69C,LA,,,E,,,,,
005056BFF94F1EDCB99B198C7199D69C,LA,,,E,,,,,
005056BFF94F1EDCB99B20E48287F6C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20E4827E76C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20E2DD61B6C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20E2DD5D16C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20E14237D6C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20E1422F56C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20DFB9EEB6C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20DFB998D6C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20DE168056C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20DE161E36C6,LA,,,E,,,,,
005056BFF94F1EDCB99B20DE160D96C6,LA,,,E,,,,,
