"tier","agency","principal__l1","shop_id","is_cbp","offsite__managed","paid_ads__managed","metrics","grass_month","month","actual_2021","target_2022"
"Tier 1","Publicis","Abbott","148045025","CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","101.76973924970378","29.49917646300419"
"Tier 1","Dentsu","Philips","284593651","CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","2357.0270371629726","8266.929669363126"
"Tier 1","OMD","Electrolux","331346099","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","512.0642584022455","26.718564222853455"
"Tier 1","GroupM","Nutifood","132920733","Non CBP","1","1","paid ads","2021-03-01 00:00:00.0","3",,
"Tier 1","Publicis","Samsung","65589552","CBP","1","1","paid ads","2021-09-01 00:00:00.0","9","8288.471042709407","2402.5124924165198"
"Tier 2","Intrepid","Panasonic","189431669","CBP","0","1","paid ads","2021-09-01 00:00:00.0","9","1990.224027007854",
"Tier 1","GroupM","P&G","89960894","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","11722.25688865978","7871.224786398468"
"Tier 1","GroupM","Unicharm","63522286","CBP","1","1","paid ads","2021-01-01 00:00:00.0","1",,
"Tier 1","OMD","Electrolux","331346099","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8",,
"Tier 1","GroupM","Shiseido CPC","27495213","CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","2981.92928415477","2002.296649498694"
"Tier 1","GroupM","P&G","89960894","CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","12399.191406895965","8325.77068223735"
"Tier 1","GroupM","Xiaomi","191065034","Non CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","43.43261658483215","29.163999001881464"
"Tier 1","Dentsu","Philips","284593651","CBP","1","1","paid ads","2021-07-01 00:00:00.0","7","3124.4990433458433","10958.726156328974"
"Tier 2","PMAX","Unilever","219192749","CBP","1","0","paid ads","2021-09-01 00:00:00.0","9","0.0",
"Tier 1","Dentsu","Ariston","244543449","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","193.5849528600222","678.971078866808"
"Tier 1","Publicis","Bel Vietnam","447796219","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","418.8387649360691","121.40542687331094"
"Tier 1","OMD","Sanofi","165026318","Non CBP","1","1","paid ads","2021-03-01 00:00:00.0","3",,
"Tier 2","Intrepid","Yves Rocher","111139273","Non CBP","1","1","paid ads","2021-10-01 00:00:00.0","10","1098.8165340119779",
"Tier 2","OnPoint","Panasonic","189431669","CBP","0","1","paid ads","2021-05-01 00:00:00.0","5","1588.7022553253366",
"Tier 1","GroupM","Unicharm","63521925","CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","203.9524044421435","136.94932949674566"
"Tier 2","PMAX","Lock&Lock","55771655","CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","1101.6877134703857",
"Tier 1","OMD","LG Electronics","95303264","CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","3165.5505705971727","165.17256346907746"
"Tier 1","GroupM","FCV","131420188","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5",,
"Tier 2","Intrepid","Colgate Palmolive","130860061","CBP","0","0","paid ads","2021-02-01 00:00:00.0","2","0.0",
"Tier 1","GroupM","Unilever","111138057","CBP","1","1","paid ads","2021-04-01 00:00:00.0","4","43485.568849283336","29199.555224578424"
"Tier 1","OMD","SC Johnson","340382054","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","370.5881274377802","19.33660184381639"
"Tier 2","PMAX","Hafele","362649986","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","1802.5129855089992",
"Tier 1","OMD","Philips","94123517","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","216.97064302355687","11.321126137932565"
"Tier 1","OMD","Yankee","347687037","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","2558.35821242356","133.49039125868367"
"Tier 1","OMD","HP","185872233","Non CBP","1","1","paid ads","2021-05-01 00:00:00.0","5","31.640234388619245","1.6509288056468512"
"Tier 1","GroupM","Marico","32467552","Non CBP","1","1","paid ads","2021-03-01 00:00:00.0","3","165.14349124161615","110.89004053740749"
"Tier 2","PMAX","LG Beauty","199300768","CBP","1","0","paid ads","2021-03-01 00:00:00.0","3","0.0",
"Tier 1","GroupM","OPPO","25452983","Non CBP","1","1","paid ads","2021-02-01 00:00:00.0","2","174.87635328103087","117.42543262571351"
"Tier 2","OnPoint","Archcafe","145969704","Non CBP","0","0","paid ads","2021-06-01 00:00:00.0","6","0.0",
"Tier 1","GroupM","Colgate-Palmolive Vietnam","130860061","CBP","1","1","paid ads","2021-01-01 00:00:00.0","1","791.2254384307845","531.2896093098187"
"Tier 2","OnPoint","Gunam","372959333","Non CBP","0","0","paid ads","2021-03-01 00:00:00.0","3","0.0",
"Tier 1","OMD","Sanofi","165026318","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11","1830.1738071032553","95.49507820883697"
"Tier 2","1 Digital","DStore.Official","432185343","Non CBP","1","1","paid ads","2021-11-01 00:00:00.0","11",,
"Tier 2","Intrepid","Colgate Palmolive","130860061","CBP","0","0","paid ads","2021-10-01 00:00:00.0","10","0.0",
"Tier 1","Dentsu","Heineken","453043569","Non CBP","1","1","paid ads","2021-12-01 00:00:00.0","12","168.57421188276342","591.2495409388744"
"Tier 1","Publicis","L'Oreal PPD","487013605","Non CBP","1","1","paid ads","2021-08-01 00:00:00.0","8","1482.1185053151432","429.60978036998057"
"Tier 1","Publicis","Samsung","65589552","CBP","1","1","paid ads","2021-06-01 00:00:00.0","6","6563.188360377939","1902.4186661978454"
"Tier 2","OnPoint","Taisun","132894999","Non CBP","0","1","paid ads","2021-02-01 00:00:00.0","2","157.31332855383027",
